Comment,Designator,Footprint,LCSC Part #
22nF 50V X7R 0805,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100nF 50V X7R 0805,"C9,C11,C13,C14,C15,C16,C17,C18,C19,C100",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
1uF 50V X7R 0805,C101,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323
22uF 25V X5R 0805,C91,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783
100kOhm 0805 1%,R102,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504
220uF 35V Elko radial D8 RM3.5,C90,CP_Radial_D8.0mm_P3.50mm,C45078
SMCJ30A TVS unidirektional DO-214AB,D90,D_SMC,C340696
SS36C Schottky 60V 3A DO-214AB (SMC),D91,D_SMC,C16237
DB128L-5.08-2P-GN-S Klemme 16A 300V,J5,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,C395868
KF350-3.5-2P Klemme 3.5mm 2P 10A,J90,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",C474892
Stiftleiste 1x04 2.54mm THT,J3,PinHeader_1x04_P2.54mm_Vertical,
IRFR5305 P-MOSFET -55V TO-252,Q90,TO-252-3_TabPin2,C2624
100Ohm 0805 1%,"R7,R8,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408
1.3kOhm 0805 1%,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
3.3kOhm 1206 1%,"R16,R17,R18,R19",R_1206_3216Metric,C26032
4.7kOhm 0805 1%,"R20,R21",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673
10kOhm 0805 1%,"R13,R15,R90,R91,R104,R105",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
K7805-1000R3 DC/DC 5V 1A 6-30V SIP-3,U90,Converter_DCDC_RECOM_R-78B-2.0_THT,C909765
DRV8876PWPR H-Bruecke HTSSOP-16 PowerPAD,U1,IC_DRV8876PWPR,
SN74LVC1G08DCKR AND SC-70-5,"U3,U103",SOT-353_SC-70-5,C7832
SN74LVC1G07DCKR Buffer OD SC-70-5,"U6,U7",SOT-353_SC-70-5,C7830
SN74LVC1G175DCKR D-Flipflop SC-70-6,U101,SOT-363_SC-70-6,C202238
SN74LVC2G00DCUR Dual-NAND VSSOP-8,U102,VSSOP-8_2.3x2mm_P0.5mm,C206109
STM32C011F6P6 MCU TSSOP-20,U100,TSSOP-20_4.4x6.5mm_P0.65mm,C5456198
PC817 Optokoppler SMD Gullwing,"U4,U5",PC817_SMT_Gullwing,C97308
680Ohm 0805 1% (Kennwiderstand ID0),R100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17798
0Ohm Bruecke 0805 (Kennwiderstand ID1),R101,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17477
