Ref,MidX,MidY
C100,6.8800,-28.0800
C101,6.8800,-25.1800
C12,53.2525,-33.7512
D1,18.6000,-32.5500
D10,29.1000,-25.1500
D2,29.0500,-32.5500
D3,39.5000,-32.5500
D4,39.5000,-25.0500
H1,4.0000,-4.0000
H2,4.0000,-56.0000
H3,60.0000,-4.0000
H4,60.0000,-56.0000
J100,32.1300,-11.7300
J101,12.5000,-4.0200
J102,12.5000,-4.0200
J103,55.9200,-43.2700
J104,55.9700,-43.2700
J5,12.0000,-53.6000
J6,20.6000,-53.6000
J7,29.2000,-53.6000
J8,37.8000,-53.6000
Q1,6.9875,-40.0000
Q10,50.2875,-25.0000
Q2,18.7875,-40.0000
Q3,30.5875,-40.0000
Q4,42.3875,-40.0000
R100,6.8500,-30.9500
R101,11.1500,-30.9500
R102,11.2500,-25.1500
R104,6.8500,-33.8500
R105,11.1500,-33.8500
R11,45.8500,-16.4500
R12,50.5500,-16.4500
RG1,25.8500,-16.4500
RG2,30.5500,-16.4500
RG3,35.2500,-16.4500
RG4,39.9500,-16.4500
RP1,25.8500,-19.5500
RP2,30.5500,-19.5500
RP3,35.2500,-19.5500
RP4,39.9500,-19.5500
U100,18.8500,-20.0000
U101,6.4500,-22.1000
U102,17.2800,-25.7500
U103,21.8825,-25.6000
